id,name,symbol,price,circulating_supply,market_cap,volume_24h,percent_change_24h,last_updated
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60734.70370846829,19717293,1197523948288.056,22651555726.154186,-2.04162664,2024-06-26T20:38:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
1,Bitcoin,BTC,60750.72398480724,19717293,1197839824770.572,22649106090.28614,-2.00266415,2024-06-26T20:39:00.000Z
